game_id,total_all,total_commented,total_rated,total_rated_and_commented,avgweight,numweights,poll_avg,poll_votes
100,,,,,0.0,0.0,0.0,0.0
101,1358.0,499.0,1148.0,421.0,1.713,115.0,1.7130434782608697,115.0
102,1249.0,390.0,938.0,291.0,1.7701,87.0,1.7701149425287357,87.0
103,5004.0,1630.0,4068.0,1229.0,3.4642,433.0,3.464203233256351,433.0
104,497.0,137.0,271.0,94.0,2.9,30.0,2.9,30.0
105,8589.0,2460.0,7390.0,2039.0,2.0202,742.0,2.0202156334231804,742.0
106,4466.0,1245.0,3581.0,984.0,1.7475,301.0,1.7475083056478404,301.0
107,59.0,10.0,18.0,6.0,1.0,1.0,1.0,1.0
108,1961.0,559.0,1424.0,462.0,2.2866,157.0,2.286624203821656,157.0
109,537.0,133.0,401.0,98.0,1.9643,28.0,1.9642857142857144,28.0
110,2342.0,621.0,2011.0,431.0,1.9484,155.0,1.9483870967741936,155.0
111,2382.0,697.0,1778.0,526.0,2.3125,224.0,2.3125,224.0
112,11758.0,2854.0,10675.0,2253.0,1.9509,754.0,1.9509283819628649,754.0
113,460.0,133.0,379.0,95.0,1.8261,23.0,1.826086956521739,23.0
114,109.0,30.0,83.0,19.0,1.625,8.0,1.625,8.0
115,4840.0,1321.0,4065.0,1045.0,1.9625,320.0,1.9625,320.0
116,23650.0,5066.0,22113.0,4338.0,1.2696,1543.0,1.269604666234608,1543.0
117,2021.0,573.0,1583.0,442.0,2.0662,151.0,2.066225165562914,151.0
118,26675.0,5719.0,24572.0,4604.0,2.2841,1545.0,2.2841423948220063,1545.0
119,6092.0,1639.0,5176.0,1311.0,1.8376,431.0,1.8375870069605569,431.0
120,6761.0,2068.0,5480.0,1509.0,1.8638,558.0,1.863799283154122,558.0
121,7435.0,2086.0,5973.0,1532.0,3.4491,579.0,3.449050086355786,579.0
122,3004.0,868.0,2397.0,667.0,2.0842,202.0,2.084158415841584,202.0
123,38.0,14.0,29.0,9.0,1.2,5.0,1.2,5.0
124,5843.0,1514.0,4770.0,,2.729,476.0,2.7289915966386555,476.0
